id	eventId	documentCode	messagePayload	subEventType	fullResults	extended_info	match_card
352796	2234	TTEMSINGLES-----------R64-003100----------		Men Singles	OFFICIAL		
352233	2234	TTEWSINGLES-----------R64-000700----------		Women Singles	OFFICIAL		
352202	2234	TTEWSINGLES-----------R64-000200----------		Women Singles	OFFICIAL		
352175	2234	TTEWSINGLES-----------R64-001800----------		Women Singles	OFFICIAL		
351706	2234	TTEWSINGLES-----------R64-001400----------		Women Singles	OFFICIAL		
351564	2234	TTEWSINGLES-----------R64-001500----------		Women Singles	OFFICIAL		
351294	2234	TTEWSINGLES-----------R64-001900----------		Women Singles	OFFICIAL		
351260	2234	TTEWSINGLES-----------R64-000600----------		Women Singles	OFFICIAL		
351108	2234	TTEWSINGLES-----------R64-002300----------		Women Singles	OFFICIAL		
0	2345	TTEMTEAM--------------FNL-00010000--------		Men's Team	OFFICIAL		
0	2345	TTEMTEAM--------------FNL-00020000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------FNL-00010000--------		Women's Team	OFFICIAL		
0	2345	TTEWTEAM--------------FNL-00020000--------		Women's Team	OFFICIAL		
0	2345	TTEMTEAM--------------SFNL00020000--------		Men's Team	OFFICIAL		
0	2345	TTEMTEAM--------------SFNL00010000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------SFNL00010000--------		Women's Team	OFFICIAL		
0	2345	TTEWTEAM--------------SFNL00020000--------		Women's Team	OFFICIAL		
0	2345	TTEMTEAM--------------QFNL00040000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------QFNL00010000--------		Women's Team	OFFICIAL		
0	2345	TTEWTEAM--------------QFNL00020000--------		Women's Team	OFFICIAL		
0	2345	TTEMTEAM--------------QFNL00030000--------		Men's Team	OFFICIAL		
0	2345	TTEXDOUBLES-----------8FNL000100----------		Mixed Doubles	OFFICIAL		
0	2345	TTEMTEAM--------------QFNL00010000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------QFNL00040000--------		Women's Team	OFFICIAL		
0	2345	TTEWTEAM--------------QFNL00030000--------		Women's Team	OFFICIAL		
0	2345	TTEMTEAM--------------QFNL00020000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------8FNL00030000--------		Women's Team	OFFICIAL		
0	2345	TTEMTEAM--------------8FNL00060000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------8FNL00020000--------		Women's Team	OFFICIAL		
0	2345	TTEMTEAM--------------8FNL00050000--------		Men's Team	OFFICIAL		
0	2345	TTEMTEAM--------------8FNL00010000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------8FNL00070000--------		Women's Team	OFFICIAL		
0	2345	TTEMTEAM--------------8FNL00080000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------8FNL00080000--------		Women's Team	OFFICIAL		
0	2345	TTEMTEAM--------------8FNL00030000--------		Men's Team	OFFICIAL		
0	2345	TTEMTEAM--------------8FNL00020000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------8FNL00040000--------		Women's Team	OFFICIAL		
0	2345	TTEWTEAM--------------8FNL00010000--------		Women's Team	OFFICIAL		
0	2345	TTEMTEAM--------------8FNL00040000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------8FNL00050000--------		Women's Team	OFFICIAL		
0	2345	TTEMTEAM--------------8FNL00070000--------		Men's Team	OFFICIAL		
0	2345	TTEWTEAM--------------8FNL00060000--------		Women's Team	OFFICIAL		
0	2345	TTEMSINGLES-----------FNL-000100----------		Men Singles	OFFICIAL		
0	2345	TTEMSINGLES-----------FNL-000200----------		Men Singles	OFFICIAL		
0	2345	TTEWSINGLES-----------FNL-000100----------		Women Singles	OFFICIAL		
0	2345	TTEWSINGLES-----------FNL-000200----------		Women Singles	OFFICIAL		
0	2345	TTEMSINGLES-----------SFNL000200----------		Men Singles	OFFICIAL		
0	2345	TTEMSINGLES-----------SFNL000100----------		Men Singles	OFFICIAL		
0	2345	TTEWSINGLES-----------SFNL000200----------		Women Singles	OFFICIAL		
0	2345	TTEWSINGLES-----------SFNL000100----------		Women Singles	OFFICIAL		
0	2345	TTEMSINGLES-----------QFNL000300----------		Men Singles	OFFICIAL		
0	2345	TTEMSINGLES-----------QFNL000400----------		Men Singles	OFFICIAL		
0	2345	TTEWSINGLES-----------QFNL000400----------		Women Singles	OFFICIAL		
0	2345	TTEMSINGLES-----------QFNL000200----------		Men Singles	OFFICIAL		
0	2345	TTEWSINGLES-----------QFNL000300----------		Women Singles	OFFICIAL		
0	2345	TTEWSINGLES-----------QFNL000100----------		Women Singles	OFFICIAL		
