Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
251,224,110615,SLO,M,ZIBRAT Jan,1703,1731,0,12,2017
251,251,115029,DEN,M,LIND Anders,1703,1652,0,12,2017
253,229,121588,TPE,M,YANG Tzu-Yi,1701,1701,0,12,2017
254,231,132302,CHN,M,YANG Shuo,1699,1699,0,12,2017
255,232,132883,PRK,M,KIM Song Gun,1696,1696,0,12,2017
256,315,120224,ROU,M,SIPOS Rares,1695,1501,0,12,2017
257,239,118671,DEN,M,RASMUSSEN Tobias,1693,1676,0,12,2017
258,266,132583,POL,M,HAN ^^ Chuanxi,1692,1603,0,12,2017
259,237,114960,CZE,M,REITSPIES David,1690,1682,0,12,2017
259,0,115000,PUR,M,AFANADOR Brian,1690,1721,0,12,2017
261,234,104086,FRA,M,JEAN Gregoire,1685,1685,0,12,2017
262,275,115828,SUI,M,WEBER Lionel,1677,1579,0,12,2017
263,301,115063,SWE,M,BERGLUND Simon,1672,1524,0,12,2017
264,240,113332,HUN,M,SZITA Marton,1671,1671,0,12,2017
265,242,109538,VIE,M,TRAN Tuan Quynh,1666,1666,0,12,2017
266,243,112121,CUB,M,CAMPOS Jorge,1665,1665,0,12,2017
267,248,103093,ARG,M,GILABERT Rodrigo,1663,1655,0,12,2017
267,244,114734,BIH,M,DURANSPAHIC Admir,1663,1663,0,12,2017
269,255,112284,ENG,M,MCBEATH David,1662,1644,0,12,2017
270,0,106784,IRI,M,NOROOZI Afshin,1661,1673,0,12,2017
270,245,106948,ISR,M,BEN ARI Omri,1661,1661,0,12,2017
270,234,107506,BUL,M,POPOV Kiril,1661,1685,0,12,2017
273,247,131148,CHN,M,XU Yingbin,1656,1656,0,12,2017
274,0,131717,POR,M,ZHAO ^^ Tianming,1655,1648,0,12,2017
275,249,101189,FRA,M,BOBILLIER Loic,1654,1654,0,12,2017
275,249,104690,CZE,M,KLEPRLIK Jakub,1654,1654,0,12,2017
277,253,112451,CRO,M,CIPIN Filip,1649,1649,0,12,2017
278,252,104087,BEL,M,JEAN Lauric,1646,1650,0,12,2017
279,0,123971,KOR,M,CHO Daeseong,1640,1618,0,12,2017
280,259,106786,NGR,M,NASIRU Kazeem,1639,1631,0,12,2017
280,257,115048,RUS,M,CHERNOV Konstantin,1639,1639,0,12,2017
280,270,124576,RUS,M,SIDORENKO Vladimir,1639,1588,0,12,2017
283,258,103875,SVK,M,ILLAS Erik,1636,1636,0,12,2017
284,256,111959,EGY,M,ASSAR Khalid,1631,1643,0,12,2017
285,278,119092,FRA,M,BERTRAND Irvin,1627,1572,0,12,2017
286,263,101514,POR,M,CARVALHO Diogo,1625,1608,0,12,2017
287,301,120066,GER,M,KLEIN Dennis,1620,1524,0,12,2017
287,262,120154,POL,M,BADOWSKI Marek,1620,1611,0,12,2017
289,233,120168,TUR,M,GUNDUZ Ibrahim,1619,1694,0,12,2017
290,299,121684,ENG,M,JARVIS Tom,1616,1525,0,12,2017
291,253,108066,SCO,M,RUMGAY Gavin,1615,1649,0,12,2017
291,260,113974,FRA,M,GAUZY Paul,1615,1615,0,12,2017
291,273,122727,TPE,M,FENG Yi-Hsin,1615,1582,0,12,2017
0,0,112883,CGO,M,DEYANGHA Christian,291,291,0,12,2017
294,261,106542,HUN,M,NAGY Krisztian,1607,1614,0,12,2017
295,294,120865,RUS,M,IVONIN Denis,1604,1534,0,12,2017
0,0,110623,MAR,M,ZINE EL ABIDINE Saad,295,295,0,12,2017
296,268,112599,TPE,M,YEH Chih-Wei,1601,1592,0,12,2017
297,359,123300,FRA,M,ROLLAND Jules,1600,1379,0,12,2017
298,310,120947,THA,M,WISUTMAYTHANGKOON Supanut,1598,1515,0,12,2017
299,269,106059,NGR,M,MEROTOHUN Monday,1590,1590,0,12,2017
300,271,107893,GRE,M,RINIOTIS Anastasios,1587,1587,0,12,2017
300,263,119316,ARG,M,CIFUENTES Horacio,1587,1608,0,12,2017
302,272,100210,NGR,M,AJETUNMOBI Seun,1584,1584,0,12,2017
303,267,103159,BUL,M,GOLOVANOV Stanislav,1583,1602,0,12,2017
303,265,113916,AUT,M,PFEFFER Simon,1583,1606,0,12,2017
305,274,124108,CHN,M,CHEN Xin,1581,1581,0,12,2017
306,276,107641,ISR,M,RABINOVICH Shimon,1578,1578,0,12,2017
307,287,112077,SWE,M,TRAN Anthony,1577,1554,0,12,2017
308,277,120848,RUS,M,GUSEV Arseniy,1575,1575,0,12,2017
309,342,131169,GER,M,HIPPLER Tobias,1572,1438,0,12,2017
310,299,115548,HKG,M,LI Hon Ming,1568,1525,0,12,2017
311,321,122095,FRA,M,REMBERT Bastien,1566,1494,0,12,2017
312,279,111683,CHI,M,GOMEZ Gustavo,1564,1569,0,12,2017
313,0,131143,RUS,M,MURZIN Vitalii,1563,0,0,12,2017
314,0,121565,KOR,M,HWANG Minha,1561,1564,0,12,2017
315,281,132880,PRK,M,HAM Yu Song,1560,1560,0,12,2017
316,282,112372,RUS,M,GADIEV Vildan,1559,1559,0,12,2017
316,0,116213,ESP,M,VILCHEZ Miguel,1559,1460,0,12,2017
316,282,123343,MAC,M,XIAO Zikang,1559,1559,0,12,2017
319,292,101545,ROU,M,CAZACU Alexandru,1555,1541,0,12,2017
0,0,121872,SVK,M,BUCKO Patrik,319,319,0,12,2017
320,284,109151,ARG,M,TABACHNIK Pablo,1554,1558,0,12,2017
321,0,116848,SWE,M,FRANZEN Alexander,1553,0,0,12,2017
0,0,132193,MAS,M,CHIN Wen Jie,321,321,0,12,2017
322,280,113926,LTU,M,MIKUTIS Tomas,1552,1567,0,12,2017
323,288,133319,AZE,M,YANG Xinyu,1548,1548,0,12,2017
324,289,105295,POL,M,LEWANDOWSKI Tomasz,1547,1547,0,12,2017
324,286,115019,SVK,M,NOVOTA Samuel,1547,1555,0,12,2017
0,0,132293,ISR,M,KARMAZIN Yaniv,324,324,0,12,2017
326,290,101756,POL,M,CHODORSKI Piotr,1546,1546,0,12,2017
327,413,123305,FRA,M,DE NODREST Leo,1545,1272,0,12,2017
328,292,113917,CZE,M,BAJGER Ondrej,1541,1541,0,12,2017
328,291,116641,FRA,M,RUIZ Romain,1541,1544,0,12,2017
0,0,123759,CHI,M,GARCIA Rodrigo,328,328,0,12,2017
330,295,115578,CHN,M,LAI Jiaxin,1532,1532,0,12,2017
330,315,117862,LUX,M,GLOD Eric,1532,1501,0,12,2017
332,284,114063,NED,M,OOSTWOUDER Ewout,1528,1558,0,12,2017
332,0,118072,ESP,M,FRANCO Carlos,1528,1386,0,12,2017
334,297,102272,VIE,M,DINH Quang Linh,1526,1526,0,12,2017
335,380,120287,ITA,M,MUTTI Matteo,1523,1336,0,12,2017
336,303,111286,AUS,M,POWELL David,1522,1522,0,12,2017
337,305,114005,BUL,M,KRASTEV Petyo,1521,1521,0,12,2017
0,0,121724,TUN,M,KALLEL Iheb,337,337,0,12,2017
338,320,115100,SVK,M,VALUCH Alexander,1519,1496,0,12,2017
339,306,108999,AUT,M,STORF Martin,1518,1518,0,12,2017
339,306,115574,NZL,M,LIU Tengteng,1518,1518,0,12,2017
341,303,102890,BUL,M,GABROVSKI Petko,1514,1522,0,12,2017
342,311,100234,KSA,M,AL-ABBAD Abdulaziz,1513,1513,0,12,2017
