2026-06-27 12:37:10,763 - INFO - Event 3085 already processed (directory exists: data/wtt_matches/3085), skipping
2026-06-27 12:37:10,763 - INFO - Event 3086 already processed (directory exists: data/wtt_matches/3086), skipping
2026-06-27 12:37:10,763 - INFO - Event 3087 already processed (directory exists: data/wtt_matches/3087), skipping
2026-06-27 12:37:10,764 - INFO - Event 3088 already processed (directory exists: data/wtt_matches/3088), skipping
2026-06-27 12:37:10,764 - INFO - Event 3089 already processed (directory exists: data/wtt_matches/3089), skipping
2026-06-27 12:37:10,764 - INFO - Event 3090 already processed (directory exists: data/wtt_matches/3090), skipping
2026-06-27 12:37:10,764 - INFO - Event 3091 already processed (directory exists: data/wtt_matches/3091), skipping
2026-06-27 12:37:10,764 - INFO - Event 3092 already processed (directory exists: data/wtt_matches/3092), skipping
2026-06-27 12:37:10,764 - INFO - Event 3093 already processed (directory exists: data/wtt_matches/3093), skipping
2026-06-27 12:37:10,764 - INFO - Event 3094 already processed (directory exists: data/wtt_matches/3094), skipping
2026-06-27 12:37:10,764 - INFO - Event 3096 already processed (directory exists: data/wtt_matches/3096), skipping
2026-06-27 12:37:10,764 - INFO - Event 3097 already processed (directory exists: data/wtt_matches/3097), skipping
2026-06-27 12:37:10,764 - INFO - Event 3098 already processed (directory exists: data/wtt_matches/3098), skipping
2026-06-27 12:37:10,764 - INFO - Event 3099 already processed (directory exists: data/wtt_matches/3099), skipping
2026-06-27 12:37:10,764 - INFO - Event 3100 already processed (directory exists: data/wtt_matches/3100), skipping
2026-06-27 12:37:10,764 - INFO - Event 3104 already processed (directory exists: data/wtt_matches/3104), skipping
2026-06-27 12:37:10,764 - INFO - Event 3108 already processed (directory exists: data/wtt_matches/3108), skipping
2026-06-27 12:37:10,764 - INFO - Event 3109 already processed (directory exists: data/wtt_matches/3109), skipping
2026-06-27 12:37:10,764 - INFO - Event 3110 already processed (directory exists: data/wtt_matches/3110), skipping
2026-06-27 12:37:10,764 - INFO - Event 3112 already processed (directory exists: data/wtt_matches/3112), skipping
2026-06-27 12:37:10,764 - INFO - Event 3121 already processed (directory exists: data/wtt_matches/3121), skipping
2026-06-27 12:37:10,764 - INFO - Event 3128 already processed (directory exists: data/wtt_matches/3128), skipping
2026-06-27 12:37:10,765 - INFO - Event 3131 already processed (directory exists: data/wtt_matches/3131), skipping
2026-06-27 12:37:10,765 - INFO - Event 3133 already processed (directory exists: data/wtt_matches/3133), skipping
2026-06-27 12:37:10,765 - INFO - Event 3147 already processed (directory exists: data/wtt_matches/3147), skipping
2026-06-27 12:37:10,765 - INFO - Event 3175 already processed (directory exists: data/wtt_matches/3175), skipping
2026-06-27 12:37:10,765 - INFO - Event 3176 already processed (directory exists: data/wtt_matches/3176), skipping
2026-06-27 12:37:10,765 - INFO - Event 3177 already processed (directory exists: data/wtt_matches/3177), skipping
2026-06-27 12:37:10,765 - INFO - Event 3178 already processed (directory exists: data/wtt_matches/3178), skipping
